"ID","name","basis","coordinateUncertaintyInMeters","informationWithheld","lat","long","date","year","month","day"
"017393aa-66fc-40c8-9c0d-721094b5e057","Galax urceolata","PreservedSpecimen",4514,NA,35.23,-82.73,1981-05-02,1981,5,2
"0bc8567a-55d9-44be-abb3-d1ea42014838","Galax urceolata","PreservedSpecimen",1269,NA,35.94,-82.01,1958-06-17,1958,6,17
"2784c351-dd31-486a-906f-2b8197a7b7ab","Galax urceolata","PreservedSpecimen",NA,NA,35.02,-82.73,2003-06-11,2003,6,11
"318bb565-8632-49bf-aedf-0c7f38ca70b3","Galax urceolata","PreservedSpecimen",70151,NA,35.56,-84.01,NA,NA,NA,NA
"32142c6c-597a-4f62-8dbf-8a7731a2af50","Galax urceolata","PreservedSpecimen",NA,NA,33.9,-83.38,2019-04-18,2019,4,18
"497db17d-2fbf-4066-ae06-06f2e4a88531","Galax urceolata","PreservedSpecimen",301,NA,35.69,-82.38,1962-07-26,1962,7,26
"55cebfc8-61f3-4bb8-8dc2-13ba9d8267b7","Galax urceolata","PreservedSpecimen",NA,NA,33.88,-85.3,2002-05-17,2002,5,17
"56996695-7fec-4a87-9f8d-5c59164f4e9f","Galax urceolata","PreservedSpecimen",3682,NA,36.12,-81.81,1938-07-06,1938,7,6
"5970dca2-4519-498d-8e5d-91b1d829cd85","Galax urceolata","PreservedSpecimen",111,NA,36,-83.95,1961-10-25,1961,10,25
"5ede8f5b-5903-4a8b-8ec4-a2817718f8ae","Galax urceolata","PreservedSpecimen",NA,NA,35.06,-87.77,1999-10-27,1999,10,27
"5f708598-206f-49a2-963e-d08a98fdb4d5","Galax urceolata","PreservedSpecimen",500,NA,35.75,-82.22,1974-04-27,1974,4,27
"6922faac-1bb1-4f75-a49c-a1bc5e5434de","Galax urceolata","PreservedSpecimen",NA,NA,38.9,-77.06,NA,NA,NA,NA
"6b966a56-11d6-4341-b53d-a22b520c75c8","Galax urceolata","PreservedSpecimen",NA,NA,34.97,-82.85,2003-06-25,2003,6,25
"6ce8ad8e-78d4-4e67-ac0b-cfbfea3a95cd","Galax urceolata","PreservedSpecimen",4731,NA,35.6,-82.29,1999-08-18,1999,8,18
"745aa971-e8f5-454a-9a04-12e0c39889ad","Galax urceolata","PreservedSpecimen",504,NA,36.11,-83.75,1968-02-25,1968,2,25
"75365a48-dbad-4d93-9baa-9125a7eca425","Galax urceolata","PreservedSpecimen",1807,NA,36.4,-80.28,1932-05-14,1932,5,14
"925c0c38-a560-421d-95a2-7289054f4779","Galax urceolata","PreservedSpecimen",500,NA,36,-81.11,1956-05-13,1956,5,13
"93c348c8-ab27-4abb-896a-42681f639642","Galax urceolata","PreservedSpecimen",NA,NA,36.08,-82.57,2009-05-12,2009,5,12
"b5af74ab-3214-4651-9250-1c0598cbd863","Galax urceolata","PreservedSpecimen",NA,NA,33.81,-81.2,1999-10-07,1999,10,7
"baf3d957-ed3a-48cd-9f00-693b58125956","Galax urceolata","PreservedSpecimen",1807,NA,35.91,-81.89,1982-10-09,1982,10,9
"c9068db6-ba7d-4506-967a-740acbaa1f18","Galax urceolata","PreservedSpecimen",1370,NA,34.74,-83.46,1928-06-24,1928,6,24
"e41632f4-86d4-4233-b27b-23adb1ef46d0","Galax urceolata","PreservedSpecimen",125,NA,35.64,-82.29,1977-07-05,1977,7,5
"e71f61b2-6935-404d-a3a1-fb2e454407e0","Galax urceolata","PreservedSpecimen",2499,NA,35.97,-83.9,1935-07-28,1935,7,28
"f0623752-8b9f-4291-bbca-b321963efd24","Galax urceolata","PreservedSpecimen",1639,NA,36.41,-80.21,1981-04-14,1981,4,14
"f295f67e-54d8-4621-b744-f1e6ca0bd1ea","Galax urceolata","PreservedSpecimen",NA,NA,34.5,-85.63,2004-05-12,2004,5,12
"f46f178e-738b-4a39-a2dc-5d47b78209a3","Galax urceolata","PreservedSpecimen",NA,NA,35.65,-83.44,1934-07-20,1934,7,20
"ffd29cd9-6a50-4ed8-99ae-2972fc22892b","Galax urceolata","PreservedSpecimen",420,NA,35.18,-83.56,1962-08-22,1962,8,22
